tema,correctos,total,accuracy_tema
Política,246,308,79.87012987012987
Matemáticas,123,154,79.87012987012987
Música,103,132,78.03030303030303
Deporte,59,82,71.95121951219512
Derecho,97,136,71.32352941176471
Ciencia_y_Tecnología,168,249,67.46987951807229
Economía,110,182,60.43956043956044
Filosofía,46,95,48.421052631578945
Historia,41,99,41.41414141414141
Religión,31,76,40.78947368421053
Humanidades,53,131,40.458015267175576
Entretenimiento,14,41,34.146341463414636
