lote,documentos,tiempo_seg,tamaño_mb,temas_unicos
1,10000,3.159619092941284,16.069039344787598,12
2,10000,3.025655508041382,15.660161972045898,12
3,10000,3.0427560806274414,15.568784713745117,12
4,10000,2.771588087081909,16.798845291137695,12
5,10000,2.8501901626586914,16.336792945861816,12
6,10000,2.9576048851013184,16.706530570983887,12
7,10000,2.898644208908081,16.13296413421631,12
8,10000,3.0315380096435547,17.166980743408203,12
9,10000,2.6977853775024414,16.027578353881836,12
10,10000,2.842430830001831,16.553107261657715,12
11,10000,2.888740062713623,16.470181465148926,12
12,10000,2.9385058879852295,16.51529026031494,12
13,10000,2.8613791465759277,16.69296169281006,12
14,10000,2.7732086181640625,16.710225105285645,12
15,10000,2.6511833667755127,15.39401626586914,12
16,10000,3.0843114852905273,15.918487548828125,12
17,10000,3.131951332092285,15.884000778198242,12
18,10000,3.002129316329956,16.530181884765625,12
19,10000,3.027390241622925,16.648054122924805,12
20,10000,2.8761708736419678,16.50807762145996,12
21,10000,2.9383788108825684,16.951146125793457,12
22,10000,2.785822629928589,16.13184356689453,12
23,10000,3.310054063796997,17.57925796508789,12
24,10000,2.7817416191101074,16.087092399597168,12
25,10000,2.795647621154785,16.260473251342773,12
26,10000,3.005650520324707,18.052422523498535,12
27,10000,2.594334602355957,16.3975191116333,12
28,10000,2.6221137046813965,15.663615226745605,12
29,10000,2.9136226177215576,15.405525207519531,12
30,10000,2.683523654937744,16.607630729675293,12
31,10000,2.7488455772399902,16.61241054534912,12
32,10000,2.648059606552124,16.12776756286621,12
33,10000,2.6218583583831787,16.33097743988037,12
34,10000,2.7374963760375977,16.751070976257324,12
35,10000,2.6687490940093994,16.59377384185791,12
36,10000,2.8356051445007324,16.806589126586914,12
37,10000,3.1597206592559814,16.519193649291992,12
38,10000,2.977339506149292,15.17178726196289,12
39,10000,2.7639658451080322,15.908102989196777,12
40,10000,3.0857491493225098,16.1953067779541,12
41,10000,2.8819875717163086,15.987459182739258,12
42,10000,2.953150987625122,15.887972831726074,12
43,10000,3.029860258102417,15.863271713256836,12
44,10000,2.8116865158081055,16.066862106323242,12
45,10000,2.840881109237671,16.533650398254395,12
46,10000,2.7620081901550293,15.722209930419922,12
47,10000,2.867421865463257,16.944007873535156,12
48,10000,2.6347897052764893,16.428231239318848,12
49,10000,2.6287615299224854,16.03593921661377,12
50,10000,2.6757211685180664,16.09251117706299,12
51,10000,2.658601760864258,16.50482177734375,12
52,10000,2.860783815383911,17.645493507385254,12
53,10000,2.612663745880127,16.21849250793457,12
54,2703,0.8309714794158936,4.4220428466796875,12
